"full_name","Tm","Conf","Year","minutes","sos","srs","FG/40","FGA/40","FG%","FG3/40","FG3A/40","FG3%","FG2/40","FG2A/40","FG2%","FT/40","FTA/40","FT%","ORB/40","DRB/40","TRB/40","AST/40","STL/40","BLK/40","TOV/40","PF/40","PTS/40","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/40","OBPM","DBPM","BPM"
"Aaron Cook","Georgia","SEC",2022,998,"8.06","-0.63","4.80","12.50","0.381","1.20","4.40","0.282","3.50","8.10","0.436","2.20","3.10","0.705","0.30","3.00","3.30","6.70","1.70","0.30","3.90","2.40","13.00","11.5","0.464","0.353","0.250","0.9","8.8","4.9","34.9","2.4","0.8","21.7","22.8","0.10","0.20","0.30","0.012","-0.4","-1.5","-1.8"
"Aaron Estrada","Saint Peter's","MAAC",2020,543,"-5.90","-3.67","5.80","14.40","0.405","1.30","3.90","0.340","4.50","10.50","0.430","3.80","4.30","0.879","1.20","3.90","5.10","3.90","1.50","0.00","4.20","2.10","16.70","14.9","0.510","0.272","0.297","3.4","11.4","7.4","23.6","2.1","0.0","20.4","25.3","0.60","0.90","1.50","0.110","-0.2","-0.3","-0.5"
"Aaron Estrada","Oregon","Pac-12",2021,112,"9.65","16.15","3.90","9.30","0.423","1.10","5.00","0.214","2.90","4.30","0.667","1.10","1.40","0.750","0.00","6.10","6.10","2.50","1.10","0.00","2.10","3.90","10.00","9.2","0.502","0.538","0.154","0.0","19.3","9.7","10.9","1.6","0.0","17.7","16.1","0.00","0.10","0.20","0.065","-2.3","1.9","-0.4"
"Aaron Estrada","Hofstra","CAA",2022,1125,"-0.60","1.80","8.20","17.10","0.477","2.20","6.60","0.330","6.00","10.60","0.569","2.60","2.70","0.935","0.60","5.90","6.50","5.70","1.70","0.20","3.00","1.40","21.10","23.3","0.572","0.384","0.160","1.6","17.4","9.5","27.6","2.5","0.6","13.9","27.3","3.30","1.40","4.60","0.164","4.7","-0.1","4.7"
"Aaron Estrada","Hofstra","CAA",2023,1154,"-2.30","4.96","8.30","17.40","0.478","2.40","6.60","0.368","5.90","10.80","0.545","2.60","3.30","0.809","0.50","5.40","5.90","4.60","1.60","0.20","3.30","1.90","21.70","22.4","0.573","0.378","0.187","1.6","14.4","8.5","22.9","2.4","0.6","14.8","29.6","2.80","2.10","4.90","0.171","3.7","0.9","4.6"
"Aaron Estrada","Alabama","SEC",2024,1142,"11.80","20.69","6.90","15.40","0.449","1.80","5.60","0.313","5.10","9.80","0.527","1.80","2.10","0.847","2.10","4.90","7.00","6.00","2.10","0.30","2.90","2.60","17.30","18.6","0.529","0.364","0.134","5.8","12.7","9.3","25.4","2.8","0.7","15.2","22.3","2.70","1.00","3.70","0.130","4.4","2.0","6.4"
"Abayomi Iyiola","Stetson","A-Sun",2018,615,"-6.45","-12.38","9.00","17.40","0.519","0.00","0.20","0.000","9.00","17.20","0.525","2.90","4.20","0.677","5.00","7.90","12.90","0.30","1.00","1.40","2.30","6.30","20.90","21.5","0.539","0.011","0.243","13.3","23.2","18.0","1.7","1.4","3.8","10.5","26.4","1.10","0.80","1.90","0.125","-1.5","-2.7","-4.2"
"Abayomi Iyiola","Stetson","A-Sun",2019,709,"-3.46","-15.01","7.60","15.70","0.484","0.10","0.50","0.125","7.60","15.30","0.494","3.60","4.90","0.733","4.80","8.50","13.30","0.80","1.70","2.10","2.30","5.00","18.80","22.8","0.522","0.029","0.308","12.1","24.3","17.8","4.4","2.4","5.9","11.1","24.4","1.30","0.90","2.20","0.123","0.7","-1.3","-0.6"
"Abayomi Iyiola","Arkansas","SEC",2021,1,"7.18","17.80","0.00","0.00",NULL,"0.00","0.00",NULL,"0.00","0.00",NULL,"0.00","0.00",NULL,"0.00","40.00","40.00","0.00","0.00","0.00","0.00","0.00","0.00","15.0",NULL,NULL,NULL,"0.0","100.0","53.2","0.0","0.0","0.0",NULL,"0.0","0.00","0.00","0.00","0.185","1.8","6.4","8.1"
"Achor Achor","Samford","Southern",2023,429,"-4.36","0.50","6.60","11.50","0.577","0.40","1.10","0.333","6.20","10.30","0.604","3.40","5.30","0.649","4.20","5.50","9.70","1.60","1.10","2.20","2.70","7.60","17.10","21.0","0.610","0.098","0.463","12.5","16.1","14.3","8.4","1.6","7.3","16.2","20.9","1.20","0.70","1.90","0.173","-0.9","0.5","-0.4"
