"full_name","Tm","Conf","Year","minutes","sos","srs","FG/40","FGA/40","FG%","FG3/40","FG3A/40","FG3%","FG2/40","FG2A/40","FG2%","FT/40","FTA/40","FT%","ORB/40","DRB/40","TRB/40","AST/40","STL/40","BLK/40","TOV/40","PF/40","PTS/40","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/40","OBPM","DBPM","BPM"
"CJ Fredrick","Kentucky","SEC",2023,601,"8.08","14.76","3.60","10.20","0.351","2.30","7.10","0.318","1.30","3.10","0.426","1.50","1.60","0.917","0.40","1.00","1.40","2.70","0.90","0.00","0.90","2.00","10.90","9.8","0.496","0.695","0.156","1.1","3.0","2.0","11.6","1.4","0.0","7.8","14.8","1.00","0.50","1.40","0.095","0.6","1.0","1.6"
"CJ Williams","Texas Tech","Big 12",2023,16,"8.24","12.58","2.50","17.50","0.143","0.00","7.50","0.000","2.50","10.00","0.250","10.00","10.00","1.000","2.50","5.00","7.50","0.00","0.00","0.00","2.50","5.00","15.00","2.1","0.337","0.429","0.571","7.7","14.2","11.1","0.0","0.0","0.0","10.1","31.3","0.00","0.00","0.00","-0.021","-12.7","-5.1","-17.7"
"CJ Williams","Auburn","SEC",2025,10,"15.13","28.68","4.00","8.00","0.500","0.00","0.00",NULL,"4.00","8.00","0.500","0.00","0.00",NULL,"0.00","0.00","0.00","0.00","8.00","0.00","0.00","0.00","8.00","16.9","0.500","0.000","0.000","0.0","0.0","0.0","0.0","11.6","0.0","0.0","9.9","0.00","0.00","0.00","0.140","-0.7","13.9","13.2"
"Claudell Harris","Charleston Southern","Big South",2022,868,"-4.21","-17.56","5.20","14.10","0.370","2.10","6.30","0.328","3.10","7.70","0.405","2.20","2.90","0.750","1.40","4.70","6.00","2.80","1.30","0.10","3.00","2.10","14.70","11.6","0.476","0.449","0.210","3.7","13.6","8.4","15.0","1.8","0.3","16.2","22.6","0.30","0.60","0.90","0.040","-2.1","-2.6","-4.7"
"Claudell Harris","Charleston Southern","Big South",2023,937,"-4.47","-9.44","8.10","17.50","0.460","2.80","8.50","0.333","5.30","9.10","0.577","3.30","4.20","0.786","0.50","4.50","5.00","3.00","1.20","0.30","2.60","2.50","22.20","21.3","0.569","0.482","0.238","1.3","13.6","7.3","16.4","1.8","0.9","11.8","28.1","2.70","0.50","3.20","0.135","3.9","-2.3","1.7"
"Claudell Harris","Boston College","ACC",2024,1101,"7.25","9.48","6.10","15.20","0.403","3.20","8.60","0.370","2.90","6.60","0.448","1.90","2.70","0.712","0.40","4.30","4.70","2.60","1.10","0.10","1.50","1.60","17.40","15.3","0.527","0.568","0.174","1.2","12.2","6.7","12.5","1.6","0.2","8.1","23.3","1.80","1.00","2.80","0.101","3.0","0.3","3.3"
"Claudell Harris","Mississippi State","SEC",2025,784,"11.79","17.14","5.70","14.30","0.396","3.50","10.20","0.340","2.20","4.10","0.538","1.80","2.30","0.778","0.70","4.20","4.90","2.10","1.60","0.20","1.20","2.10","16.60","15.2","0.539","0.714","0.161","1.8","12.0","6.7","9.5","2.3","0.6","7.4","20.1","1.40","0.80","2.30","0.115","3.3","1.5","4.9"
"Clifford Omoruyi","Rutgers","Big Ten",2021,343,"12.50","14.14","4.20","6.60","0.632","0.10","0.20","0.500","4.10","6.40","0.636","1.60","3.80","0.424","2.20","8.40","10.60","0.50","1.00","1.90","1.20","5.20","10.10","15.7","0.599","0.035","0.579","6.3","23.3","14.9","2.1","1.5","5.1","12.1","12.4","0.50","0.60","1.20","0.136","0.0","3.6","3.7"
"Clifford Omoruyi","Rutgers","Big Ten",2022,919,"6.81","8.78","7.00","11.20","0.624","0.00","0.30","0.167","7.00","11.00","0.635","2.60","4.30","0.602","3.00","7.90","10.90","0.50","0.70","1.70","1.80","3.00","16.60","22.6","0.627","0.023","0.380","8.8","23.0","15.9","2.8","1.1","5.2","11.9","19.9","2.30","1.50","3.90","0.168","2.9","1.6","4.5"
"Clifford Omoruyi","Rutgers","Big Ten",2023,1030,"7.31","14.58","7.00","13.70","0.507","0.20","0.90","0.182","6.80","12.90","0.529","3.40","5.60","0.604","4.10","8.50","12.60","1.20","0.80","2.80","2.40","3.50","17.40","22.3","0.533","0.062","0.408","11.5","24.5","17.9","6.8","1.2","9.0","12.8","24.1","1.80","2.80","4.60","0.178","2.4","3.4","5.8"
"Clifford Omoruyi","Rutgers","Big Ten",2024,860,"8.57","7.41","6.00","11.80","0.512","0.00","0.20","0.200","6.00","11.60","0.518","3.30","5.50","0.610","3.80","8.60","12.40","0.70","1.00","4.30","2.00","3.90","15.50","21.7","0.537","0.020","0.465","9.5","23.9","16.3","4.0","1.5","12.8","12.4","20.4","1.10","2.30","3.50","0.162","0.7","5.1","5.8"
"Clifford Omoruyi","Alabama","SEC",2025,709,"16.14","25.54","6.40","8.70","0.734","0.00","0.10","0.000","6.40","8.60","0.739","3.70","5.10","0.725","4.00","9.60","13.60","1.80","0.80","2.30","1.60","5.50","16.50","23.0","0.740","0.006","0.591","11.0","22.8","17.3","7.4","1.0","5.2","12.4","14.4","2.50","1.20","3.60","0.206","5.4","4.6","10.0"
"Cole Bott","Texas","Big 12",2023,22,"10.43","20.56","3.60","7.30","0.500","3.60","7.30","0.500","0.00","0.00",NULL,"0.00","0.00",NULL,"3.60","5.50","9.10","0.00","1.80","1.80","0.00","1.80","10.90","20.3","0.750","1.000","0.000","10.8","16.0","13.4","0.0","2.6","5.0","0.0","9.1","0.10","0.00","0.10","0.206","6.4","5.1","11.5"
"Cole Bott","Texas","Big 12",2024,3,"9.41","15.91","0.00","13.30","0.000","0.00","13.30","0.000","0.00","0.00",NULL,"0.00","0.00",NULL,"0.00","13.30","13.30","0.00","0.00","0.00","13.30","0.00","0.00","-29.5","0.000","1.000","0.000","0.0","37.9","19.5","0.0","0.0","0.0","50.0","34.1","0.00","0.00","0.00","-0.497","-24.1","-7.0","-31.2"
"Cole Bott","Texas","SEC",2025,22,"9.79","15.65","0.00","3.60","0.000","0.00","3.60","0.000","0.00","0.00",NULL,"7.30","7.30","1.000","1.80","1.80","3.60","5.50","1.80","0.00","0.00","7.30","7.30","13.1","0.513","1.000","2.000","5.4","5.1","5.2","20.3","2.7","0.0","0.0","9.1","0.10","0.00","0.10","0.160","-3.1","3.0","0.0"
"Colin Castleton","Michigan","Big Ten",2019,67,"10.55","21.82","5.40","13.10","0.409","0.00","1.80","0.000","5.40","11.30","0.474","1.80","5.40","0.333","4.80","7.80","12.50","0.60","0.60","2.40","3.00","8.40","12.50","10.5","0.400","0.136","0.409","14.1","21.6","18.0","3.0","0.9","6.1","16.0","25.5","-0.10","0.20","0.10","0.075","-7.3","2.5","-4.8"
"Colin Castleton","Michigan","Big Ten",2020,197,"11.17","17.94","5.50","10.20","0.540","0.00","0.80","0.000","5.50","9.30","0.587","4.90","5.90","0.828","3.70","8.50","12.20","1.60","0.60","2.60","2.60","3.90","15.80","22.9","0.612","0.080","0.580","10.7","23.4","17.3","7.4","0.9","6.1","16.9","20.1","0.60","0.40","0.90","0.190","1.4","3.8","5.2"
"Colin Castleton","Florida","SEC",2021,617,"9.82","13.70","7.20","12.10","0.597","0.00","0.10","0.000","7.20","12.00","0.600","4.90","6.20","0.781","3.80","6.10","9.90","1.70","0.80","3.50","3.00","3.40","19.30","27.2","0.641","0.005","0.516","12.0","16.8","14.5","8.8","1.2","9.5","16.6","22.5","2.20","1.10","3.20","0.210","5.4","3.3","8.7"
"Connor Vanover","California","Pac-12",2019,490,"5.42","-3.16","6.80","14.40","0.469","2.20","6.20","0.355","4.60","8.20","0.554","1.30","2.00","0.667","1.70","5.10","6.80","0.40","0.60","2.90","1.50","3.10","17.10","18.9","0.555","0.429","0.136","5.0","16.6","10.5","2.4","0.8","8.9","8.7","22.1","0.80","0.20","1.00","0.079","2.4","-0.6","1.9"
"Connor Vanover","Arkansas","SEC",2021,469,"7.18","17.80","6.00","13.20","0.452","2.00","6.30","0.324","3.90","6.90","0.568","1.70","1.80","0.952","2.30","8.90","11.20","1.20","1.10","4.30","1.80","3.20","15.70","21.1","0.558","0.477","0.135","6.1","23.6","14.9","5.2","1.5","11.5","11.3","18.2","0.90","1.20","2.10","0.181","3.4","4.9","8.3"
"Curt Lewis","Eastern Kentucky","OVC",2021,683,"-8.24","-2.68","6.50","12.50","0.521","1.50","4.20","0.347","5.00","8.30","0.610","3.00","4.40","0.693","2.60","5.40","8.00","2.60","2.20","0.20","2.80","3.60","17.50","19.5","0.601","0.338","0.352","6.6","15.6","10.9","11.4","2.8","0.5","15.9","20.0","1.60","1.30","2.90","0.169","1.0","0.4","1.5"
"Curt Lewis","Eastern Kentucky","A-Sun",2022,725,"-5.38","-6.75","5.50","14.40","0.383","2.80","8.20","0.342","2.70","6.20","0.438","1.70","3.00","0.545","2.00","6.30","8.40","2.30","2.00","0.20","2.80","3.00","15.50","13.8","0.489","0.571","0.211","5.0","18.9","11.2","10.3","2.7","0.6","14.8","21.8","0.50","1.00","1.50","0.084","-1.0","-1.7","-2.7"
"Curt Lewis","Missouri","SEC",2024,219,"7.30","3.27","3.10","10.60","0.293","1.30","5.50","0.233","1.80","5.10","0.357","1.10","2.00","0.545","1.50","4.60","6.00","2.60","1.80","0.40","1.60","2.70","8.60","7.7","0.372","0.517","0.190","4.3","13.5","8.9","11.6","2.7","1.1","12.5","17.1","-0.10","0.10","0.00","0.000","-2.7","0.4","-2.3"
"D'Moi Hodge","Cleveland State","Horizon",2021,672,"-4.82","-5.12","6.20","15.30","0.405","2.40","8.20","0.299","3.80","7.10","0.525","1.40","2.20","0.649","1.10","4.60","5.70","2.40","2.70","1.00","2.30","3.60","16.30","17.1","0.497","0.533","0.144","3.2","13.4","8.4","12.4","4.0","3.2","12.4","24.0","0.70","1.00","1.80","0.105","-0.2","1.6","1.4"
"D'Moi Hodge","Cleveland State","Horizon",2022,886,"-5.64","-1.78","7.80","16.20","0.482","2.80","8.20","0.337","5.10","8.00","0.629","3.20","4.20","0.755","1.10","3.30","4.40","1.90","3.10","1.10","2.00","3.70","21.60","23.8","0.592","0.504","0.262","3.5","9.5","6.6","10.1","4.5","3.4","9.8","25.5","2.70","1.50","4.20","0.191","3.6","1.4","5.0"
"D'Moi Hodge","Missouri","SEC",2023,1020,"6.89","11.41","7.00","14.60","0.477","3.90","9.80","0.400","3.10","4.80","0.634","2.30","3.10","0.734","1.00","4.30","5.30","2.20","3.60","0.70","1.10","3.40","20.20","25.0","0.626","0.670","0.212","2.9","12.8","7.9","10.4","5.1","2.1","6.2","21.8","3.40","1.50","4.90","0.194","7.6","2.8","10.4"
"D.J. Harvey","Notre Dame","ACC",2018,345,"7.92","13.64","4.50","11.60","0.390","1.70","5.20","0.333","2.80","6.40","0.436","2.10","3.40","0.621","1.60","4.90","6.50","1.30","1.30","0.30","1.30","2.40","12.90","13.0","0.488","0.450","0.290","4.7","13.4","9.2","5.9","1.9","0.9","8.8","18.8","0.40","0.40","0.80","0.093","-0.7","1.6","0.9"
"D.J. Harvey","Notre Dame","ACC",2019,750,"8.28","7.97","5.50","14.20","0.390","1.90","6.20","0.299","3.70","8.00","0.460","3.60","4.90","0.747","1.30","5.30","6.60","1.00","1.00","0.80","2.30","3.00","16.60","14.0","0.501","0.438","0.341","3.3","14.3","8.7","5.6","1.4","2.1","12.2","24.3","0.60","0.80","1.40","0.074","0.1","0.5","0.6"
"D.J. Harvey","Vanderbilt","SEC",2021,450,"6.74","6.14","4.50","11.60","0.389","2.50","6.80","0.368","2.00","4.90","0.418","1.40","1.60","0.889","0.90","4.80","5.70","1.00","1.00","0.40","2.40","3.90","13.00","9.8","0.523","0.580","0.137","2.5","14.4","8.3","4.9","1.4","1.0","16.2","18.7","0.20","0.40","0.60","0.054","-0.5","-0.5","-1.0"
"D.J. Jeffries","Memphis","AAC",2020,514,"5.07","12.16","6.40","12.50","0.513","1.20","3.20","0.390","5.10","9.30","0.555","2.00","2.70","0.743","1.50","4.90","6.40","2.20","1.10","1.60","2.60","3.90","16.00","16.8","0.583","0.256","0.219","4.3","11.8","8.4","11.8","1.5","4.3","15.7","19.6","0.90","1.10","2.00","0.156","1.5","3.4","4.9"
"D.J. Jeffries","Memphis","AAC",2021,717,"4.13","13.81","5.90","13.20","0.443","1.40","4.00","0.352","4.50","9.30","0.482","2.30","4.10","0.562","2.10","5.90","7.90","3.00","1.50","1.30","3.30","4.10","15.40","14.7","0.508","0.300","0.308","5.7","16.0","10.9","14.7","2.0","4.0","18.1","22.0","0.60","1.90","2.50","0.139","0.4","3.5","3.9"
"D.J. Jeffries","Mississippi State","SEC",2022,955,"7.60","11.83","4.60","10.90","0.423","1.20","4.10","0.293","3.40","6.70","0.503","2.20","3.10","0.726","1.10","4.90","6.00","2.60","1.00","0.80","2.50","2.20","12.60","13.1","0.512","0.381","0.281","3.4","14.7","9.1","12.9","1.5","2.4","16.7","19.0","0.90","1.30","2.20","0.093","1.3","1.3","2.6"
"Dailyn Swain","Xavier","Big East",2024,549,"11.03","12.23","3.70","8.10","0.459","0.30","1.90","0.154","3.40","6.20","0.553","1.90","2.30","0.813","2.00","4.40","6.40","2.60","2.20","1.50","1.50","3.60","9.60","13.7","0.523","0.234","0.288","5.5","11.8","8.7","11.2","3.1","3.8","14.3","12.9","0.60","0.80","1.40","0.102","0.6","4.6","5.2"
"Dailyn Swain","Xavier","Big East",2025,968,"8.72","15.25","5.50","10.40","0.532","0.30","1.20","0.250","5.20","9.30","0.567","4.00","5.00","0.817","1.40","6.30","7.70","3.70","2.20","0.80","2.30","2.90","15.40","19.3","0.604","0.111","0.476","4.5","18.5","11.7","17.6","3.2","2.3","15.1","19.5","2.10","1.80","3.90","0.160","3.0","3.9","6.9"
"Dailyn Swain","Texas","SEC",2026,790,"8.37","17.96","7.90","13.90","0.573","1.20","3.50","0.329","6.80","10.30","0.657","5.20","6.50","0.805","1.90","7.30","9.20","4.30","2.40","0.40","3.40","2.90","22.30","26.4","0.657","0.255","0.467","5.9","20.3","13.4","20.8","3.4","0.9","16.7","24.9","2.90","1.40","4.30","0.219","7.4","4.1","11.5"
"Dajuan Gordon","Kansas State","Big 12",2020,773,"9.48","8.70","4.00","9.10","0.443","1.20","3.80","0.329","2.80","5.30","0.524","1.10","1.70","0.656","2.70","3.00","5.70","1.20","2.10","0.30","2.60","3.70","10.40","11.6","0.526","0.415","0.182","7.7","9.4","8.5","6.5","3.1","0.8","20.7","16.1","0.40","1.20","1.60","0.082","0.3","2.4","2.7"
"Dajuan Gordon","Kansas State","Big 12",2021,714,"9.04","0.76","4.50","12.10","0.375","1.00","4.60","0.217","3.50","7.50","0.474","2.70","3.50","0.762","2.00","5.70","7.70","2.00","1.70","0.10","3.40","3.50","12.80","10.7","0.464","0.384","0.292","5.9","18.2","11.8","11.0","2.5","0.2","19.6","22.3","-0.20","0.80","0.60","0.034","-1.2","1.5","0.3"
"Dajuan Gordon","Missouri","SEC",2022,783,"9.10","2.94","4.90","12.10","0.407","1.80","5.10","0.364","3.10","7.00","0.438","1.90","2.60","0.745","2.00","4.50","6.50","1.90","1.30","0.40","3.10","4.50","13.60","11.7","0.511","0.419","0.216","5.8","13.2","9.5","10.2","2.0","1.1","19.0","21.0","0.40","0.70","1.20","0.059","-0.4","0.1","-0.3"
"Dakota Leffew","Mount St. Mary's","NEC",2021,205,"-6.67","-5.67","3.30","7.40","0.447","2.00","5.30","0.370","1.40","2.10","0.636","1.00","1.60","0.625","0.60","3.50","4.10","1.80","0.60","1.40","4.30","3.90","9.60","6.6","0.586","0.711","0.211","1.7","10.0","6.0","9.1","0.9","3.6","34.5","16.9","-0.10","0.30","0.20","0.035","-4.3","0.1","-4.2"
"Dakota Leffew","Mount St. Mary's","NEC",2022,601,"-7.20","-8.20","3.90","10.60","0.365","1.30","4.60","0.275","2.60","6.00","0.433","1.20","1.70","0.720","0.70","5.30","6.00","3.50","0.70","0.70","2.30","2.80","10.20","9.6","0.448","0.434","0.157","2.2","15.6","8.9","16.5","1.1","1.8","17.0","18.1","0.10","0.80","0.90","0.061","-3.2","-0.3","-3.5"
"Dakota Leffew","Mount St. Mary's","MAAC",2023,1041,"-4.02","-8.18","5.70","13.90","0.410","2.80","7.40","0.380","2.90","6.50","0.444","1.40","1.90","0.755","0.10","3.20","3.30","2.10","1.60","0.50","3.30","1.80","15.60","12.0","0.528","0.532","0.136","0.2","9.3","4.8","11.9","2.4","1.3","18.1","24.1","0.20","1.40","1.60","0.060","-0.9","-0.3","-1.2"
"Dakota Leffew","Mount St. Mary's","MAAC",2024,1061,"-7.45","-6.54","7.40","17.10","0.430","2.80","7.70","0.365","4.60","9.50","0.482","2.50","3.20","0.765","0.60","4.30","4.80","4.40","1.70","0.70","3.20","2.00","19.90","18.2","0.535","0.447","0.187","1.8","12.2","7.2","22.6","2.4","1.8","14.8","27.8","1.80","1.50","3.30","0.123","1.9","-0.8","1.1"
"Dakota Leffew","Georgia","SEC",2025,806,"10.94","16.36","5.20","12.60","0.415","2.50","7.60","0.333","2.70","5.00","0.540","2.00","2.50","0.784","0.60","2.60","3.20","2.70","1.10","0.60","2.10","2.50","14.90","13.0","0.543","0.605","0.202","1.8","7.3","4.7","12.9","1.7","1.7","13.2","19.7","1.20","0.90","2.10","0.103","2.3","1.7","4.0"
"Dalton Knecht","Northern Colorado","Big Sky",2022,844,"-3.67","-4.53","5.00","11.40","0.436","2.30","6.30","0.361","2.70","5.10","0.528","2.60","3.50","0.753","0.90","5.10","6.00","1.50","0.80","0.80","2.40","2.50","14.80","14.0","0.568","0.552","0.303","2.8","14.8","9.0","6.8","1.1","2.0","15.6","19.8","1.10","0.50","1.70","0.079","0.6","-1.8","-1.2"
"Dalton Knecht","Northern Colorado","Big Sky",2023,1129,"-0.65","-4.65","8.30","17.30","0.479","2.70","7.20","0.381","5.60","10.20","0.547","3.60","4.60","0.771","0.80","7.30","8.10","2.00","0.90","0.60","2.30","1.70","22.90","23.2","0.586","0.413","0.268","2.4","21.5","12.0","11.5","1.3","1.6","10.7","28.2","3.20","0.70","3.90","0.138","5.2","-1.1","4.0"
"Dalton Knecht","Tennessee","SEC",2024,1100,"10.42","21.81","9.60","21.00","0.458","3.40","8.50","0.397","6.20","12.50","0.499","5.80","7.50","0.772","1.00","5.40","6.40","2.40","0.90","0.80","2.20","2.30","28.40","24.4","0.578","0.406","0.357","2.8","14.3","8.7","13.4","1.3","2.4","8.3","32.7","3.70","2.00","5.70","0.207","8.5","2.8","11.3"
"Darlinstone Dubar","Iowa State","Big 12",2021,231,"10.40","-0.72","2.40","7.10","0.341","0.50","1.70","0.300","1.90","5.40","0.355","1.00","2.30","0.462","2.10","4.70","6.80","1.20","1.00","0.50","3.30","4.00","6.40","3.5","0.392","0.244","0.317","5.9","13.6","9.7","5.5","1.5","1.3","28.7","14.5","-0.30","0.10","-0.30","-0.043","-4.9","-0.5","-5.4"
"Darlinstone Dubar","Hofstra","CAA",2022,952,"-0.60","1.80","6.10","11.30","0.541","1.60","4.70","0.339","4.50","6.60","0.684","1.80","2.60","0.705","1.60","4.70","6.20","1.40","1.40","1.10","1.40","2.80","15.70","18.9","0.624","0.415","0.226","4.5","13.8","9.1","6.1","2.0","3.2","9.9","17.8","2.30","1.10","3.40","0.144","1.9","0.1","2.0"
"Darlinstone Dubar","Hofstra","CAA",2023,877,"-2.30","4.96","6.60","12.90","0.511","1.90","4.70","0.404","4.70","8.10","0.573","1.40","2.00","0.721","2.20","5.50","7.70","1.60","0.90","0.50","1.60","2.60","16.50","19.1","0.597","0.369","0.152","6.8","14.8","11.1","7.6","1.3","1.3","10.4","20.5","2.20","1.50","3.60","0.166","2.2","0.0","2.1"
"Darlinstone Dubar","Hofstra","CAA",2024,1143,"-1.98","2.31","7.80","14.50","0.539","2.60","6.40","0.399","5.20","8.10","0.649","2.40","3.30","0.734","1.80","6.00","7.80","1.60","1.40","1.10","1.60","2.00","20.60","24.4","0.641","0.442","0.227","5.6","17.0","11.6","8.4","2.0","3.3","9.3","23.8","3.70","1.90","5.60","0.194","4.7","0.8","5.5"
"Darlinstone Dubar","Tennessee","SEC",2025,321,"13.25","24.20","5.10","13.10","0.390","2.00","7.90","0.254","3.10","5.20","0.595","1.60","2.70","0.591","2.40","5.10","7.50","2.00","0.90","0.90","1.50","2.90","13.80","13.5","0.481","0.600","0.210","7.3","14.3","11.0","9.8","1.3","2.8","9.4","20.8","0.40","0.60","1.00","0.119","1.9","3.6","5.5"
"Dashawn Davis","Oregon State","Pac-12",2022,874,"8.40","-1.44","5.60","12.30","0.457","0.40","2.20","0.188","5.20","10.10","0.516","1.70","2.70","0.655","0.80","3.10","3.80","6.80","1.70","0.10","3.00","2.20","13.40","16.0","0.494","0.178","0.216","2.3","9.5","5.8","34.5","2.6","0.3","18.2","21.6","1.00","0.00","1.10","0.048","1.6","-1.4","0.1"
"Dashawn Davis","Mississippi State","SEC",2023,916,"6.69","11.43","3.90","10.30","0.381","1.60","4.80","0.339","2.30","5.50","0.417","2.30","3.00","0.765","0.70","1.90","2.60","4.80","2.30","0.00","2.40","2.80","11.70","13.2","0.501","0.462","0.288","1.9","5.6","3.7","24.1","3.5","0.1","17.3","18.2","1.00","1.80","2.80","0.121","0.4","3.8","4.2"
"Davion Mintz","Creighton","Big East",2017,354,"8.95","17.27","3.40","8.80","0.385","1.00","2.80","0.360","2.40","6.00","0.396","2.90","3.70","0.788","0.10","3.50","3.60","5.90","1.70","0.50","3.80","4.00","10.70","10.0","0.507","0.321","0.423","0.3","9.3","5.1","21.4","2.3","1.2","26.6","17.7","0.10","0.50","0.60","0.071","-2.0","2.8","0.8"
"Davion Mintz","Creighton","Big East",2018,696,"8.10","16.35","3.50","8.70","0.404","1.10","3.10","0.352","2.40","5.60","0.433","3.40","4.70","0.732","0.50","5.50","6.00","5.90","0.80","0.20","2.10","2.50","11.60","13.4","0.529","0.358","0.543","1.4","14.5","8.4","21.9","1.1","0.4","15.9","16.2","1.20","0.90","2.10","0.120","1.2","2.2","3.4"
"Davion Mintz","Creighton","Big East",2019,1011,"8.59","12.00","4.70","11.30","0.416","1.70","4.90","0.347","3.00","6.40","0.469","2.40","3.30","0.723","0.70","3.40","4.20","4.20","1.60","0.20","3.00","2.80","13.50","12.6","0.524","0.434","0.290","2.2","10.0","6.2","18.1","2.3","0.5","18.9","20.2","1.00","1.10","2.10","0.083","0.4","1.4","1.9"
"Davion Mintz","Kentucky","SEC",2021,769,"11.49","11.77","5.00","12.60","0.397","2.90","7.70","0.378","2.10","4.90","0.426","2.10","3.20","0.656","1.00","3.10","4.10","4.10","1.30","0.30","2.40","2.50","15.00","15.0","0.531","0.612","0.252","2.7","8.4","5.6","21.0","1.9","0.7","14.8","20.2","1.40","0.80","2.20","0.112","3.6","1.7","5.3"
"Davon Barnes","Texas Southern","SWAC",2022,151,"-6.24","-3.30","4.00","9.80","0.405","0.00","1.90","0.000","4.00","7.90","0.500","1.60","2.40","0.667","2.60","3.70","6.40","1.30","0.50","0.30","1.60","2.60","9.50","8.9","0.436","0.189","0.243","7.4","9.7","8.6","6.3","0.8","0.7","12.7","15.3","0.10","0.20","0.30","0.074","-3.7","-1.4","-5.1"
"Davon Barnes","Texas Southern","SWAC",2023,1063,"-5.05","-10.56","5.90","13.30","0.441","0.80","3.00","0.275","5.00","10.30","0.489","4.10","5.30","0.780","1.70","3.80","5.50","2.40","1.10","0.20","3.00","2.80","16.70","14.6","0.527","0.226","0.398","4.7","10.8","7.7","12.8","1.5","0.6","15.8","22.9","1.30","1.30","2.60","0.100","-0.7","-1.5","-2.1"
"Davon Barnes","Sam Houston","CUSA",2024,1017,"-1.72","-0.37","5.90","13.90","0.421","2.30","5.90","0.391","3.50","8.00","0.443","3.40","4.10","0.837","0.60","4.00","4.60","2.10","0.90","0.30","2.30","2.50","17.50","14.1","0.550","0.427","0.294","1.6","11.2","6.4","11.2","1.2","0.8","12.6","22.4","1.60","1.50","3.10","0.124","1.2","-0.1","1.1"
"Davon Barnes","Mississippi","SEC",2025,736,"12.80","18.28","3.40","8.80","0.383","0.80","3.60","0.212","2.60","5.20","0.500","2.30","3.10","0.737","1.70","4.60","6.30","1.60","1.40","0.50","0.90","3.90","9.80","10.4","0.476","0.407","0.352","4.7","13.5","9.0","6.8","2.0","1.7","8.2","14.3","0.60","1.00","1.60","0.084","-0.3","2.5","2.3"
"De'Shayne Montgomery","Mount St. Mary's","MAAC",2024,888,"-7.45","-6.54","7.00","13.10","0.538","1.30","3.10","0.412","5.80","10.00","0.577","3.70","5.10","0.728","1.00","4.00","5.00","2.90","2.40","1.00","4.10","3.00","19.10","19.4","0.615","0.234","0.393","3.2","11.5","7.6","14.4","3.5","2.6","20.7","24.8","1.40","1.50","2.90","0.131","0.0","0.7","0.7"
"De'Shayne Montgomery","Georgia","SEC",2025,264,"10.94","16.36","5.80","14.10","0.409","1.10","4.20","0.250","4.70","9.80","0.477","4.10","5.80","0.711","1.50","3.80","5.30","2.00","2.70","0.50","4.40","3.30","16.70","12.5","0.495","0.301","0.409","4.6","10.5","7.7","9.7","4.0","1.3","20.7","26.4","-0.10","0.40","0.40","0.059","-1.2","3.2","2.0"
"DeAndre Gholston","Kent State","MAC",2019,62,"0.61","1.26","4.50","11.00","0.412","0.00","2.60","0.000","4.50","8.40","0.538","3.20","4.50","0.714","4.50","3.20","7.70","1.30","2.60","0.60","4.50","7.10","12.30","10.6","0.467","0.235","0.412","12.3","9.8","11.1","5.9","3.7","1.8","25.6","21.6","0.00","0.10","0.10","0.034","-6.4","0.2","-6.2"
"DeAndre Gholston","Milwaukee","Horizon",2021,729,"-6.98","-7.71","7.00","15.90","0.439","2.50","6.70","0.374","4.40","9.10","0.488","3.80","4.70","0.802","0.70","5.60","6.30","1.60","1.40","0.40","2.40","1.90","20.20","19.2","0.559","0.426","0.298","1.8","16.1","8.8","8.6","1.9","1.1","11.5","25.5","1.50","0.70","2.10","0.117","2.3","-1.4","0.9"
"DeAndre Gholston","Milwaukee","Horizon",2022,1012,"-6.32","-13.19","6.10","16.90","0.361","2.20","6.90","0.320","3.90","10.00","0.389","3.20","4.00","0.784","0.80","4.60","5.40","2.60","0.90","0.20","2.60","2.60","17.50","12.8","0.467","0.410","0.239","2.3","11.9","7.4","14.5","1.4","0.6","12.2","27.8","0.50","0.80","1.30","0.050","-1.3","-2.8","-4.0"
"DeAndre Gholston","Missouri","SEC",2023,813,"6.89","11.41","6.50","15.00","0.433","1.50","4.80","0.309","5.00","10.20","0.490","4.30","5.50","0.786","0.50","3.60","4.10","3.10","1.20","0.10","2.90","3.40","18.80","14.9","0.533","0.318","0.367","1.6","10.6","6.2","14.2","1.7","0.5","13.9","26.1","1.20","0.50","1.60","0.080","1.0","-1.6","-0.5"
"Dedan Thomas","Nevada-Las Vegas","MWC",2024,1186,"6.25","8.38","5.50","12.20","0.449","1.10","3.20","0.362","4.40","9.10","0.480","3.50","4.70","0.743","0.20","2.90","3.10","5.90","1.00","0.00","2.50","1.50","15.60","16.4","0.540","0.259","0.386","0.6","8.6","4.7","28.3","1.5","0.1","14.9","22.3","2.40","1.20","3.60","0.122","2.7","-0.1","2.6"
"Dedan Thomas","Nevada-Las Vegas","MWC",2025,931,"5.53","6.65","5.80","14.00","0.413","1.00","2.90","0.353","4.80","11.10","0.429","4.80","6.60","0.721","0.40","1.80","2.20","5.20","0.80","0.10","2.10","1.40","17.40","15.9","0.506","0.208","0.471","1.1","5.1","3.2","28.3","1.2","0.4","10.9","25.6","1.60","0.80","2.40","0.102","2.4","-0.9","1.5"
